country,iso3,date,Year,Month,cases,source
Belize,BLZ,2024-08-01T00:00:00Z,2024,8,315,PAHO
Belize,BLZ,2024-09-01T00:00:00Z,2024,9,180,PAHO
Belize,BLZ,2024-10-01T00:00:00Z,2024,10,78,PAHO
Belize,BLZ,2024-11-01T00:00:00Z,2024,11,54,PAHO
Belize,BLZ,2024-12-01T00:00:00Z,2024,12,NA,PAHO
Belize,BLZ,2025-01-01T00:00:00Z,2025,1,54,PAHO
Belize,BLZ,2025-02-01T00:00:00Z,2025,2,55,PAHO
Belize,BLZ,2025-03-01T00:00:00Z,2025,3,90,PAHO
Belize,BLZ,2025-04-01T00:00:00Z,2025,4,47,PAHO
Belize,BLZ,2025-05-01T00:00:00Z,2025,5,71,WHO
Belize,BLZ,2025-06-01T00:00:00Z,2025,6,83,WHO
Belize,BLZ,2025-07-01T00:00:00Z,2025,7,278,WHO
Benin,BEN,2024-01-01T00:00:00Z,2024,1,3,WHO
Benin,BEN,2024-02-01T00:00:00Z,2024,2,1,WHO
Benin,BEN,2024-03-01T00:00:00Z,2024,3,0,WHO
Benin,BEN,2024-04-01T00:00:00Z,2024,4,0,WHO
Benin,BEN,2024-05-01T00:00:00Z,2024,5,0,WHO
Benin,BEN,2024-06-01T00:00:00Z,2024,6,9,WHO
Benin,BEN,2024-07-01T00:00:00Z,2024,7,11,WHO
Benin,BEN,2024-08-01T00:00:00Z,2024,8,5,WHO
Benin,BEN,2024-09-01T00:00:00Z,2024,9,2,WHO
Benin,BEN,2024-10-01T00:00:00Z,2024,10,5,WHO
Benin,BEN,2024-11-01T00:00:00Z,2024,11,4,WHO
Benin,BEN,2024-12-01T00:00:00Z,2024,12,1,WHO
Benin,BEN,2025-01-01T00:00:00Z,2025,1,0,WHO
Benin,BEN,2025-02-01T00:00:00Z,2025,2,3,WHO
Benin,BEN,2025-03-01T00:00:00Z,2025,3,1,WHO
Benin,BEN,2025-04-01T00:00:00Z,2025,4,0,WHO
Benin,BEN,2025-05-01T00:00:00Z,2025,5,3,WHO
Benin,BEN,2025-06-01T00:00:00Z,2025,6,13,WHO
Benin,BEN,2025-07-01T00:00:00Z,2025,7,28,WHO
Bermuda,BMU,2024-01-01T00:00:00Z,2024,1,0,WHO
Bermuda,BMU,2024-02-01T00:00:00Z,2024,2,0,WHO
Bermuda,BMU,2024-03-01T00:00:00Z,2024,3,0,WHO
Bermuda,BMU,2024-04-01T00:00:00Z,2024,4,0,WHO
Bermuda,BMU,2024-05-01T00:00:00Z,2024,5,0,WHO
Bermuda,BMU,2024-06-01T00:00:00Z,2024,6,0,WHO
Bermuda,BMU,2024-07-01T00:00:00Z,2024,7,0,WHO
Bermuda,BMU,2024-08-01T00:00:00Z,2024,8,1,PAHO
Bermuda,BMU,2024-09-01T00:00:00Z,2024,9,0,WHO
Bermuda,BMU,2024-10-01T00:00:00Z,2024,10,0,WHO
Bermuda,BMU,2024-11-01T00:00:00Z,2024,11,NA,PAHO
Bermuda,BMU,2024-12-01T00:00:00Z,2024,12,2,WHO
Bermuda,BMU,2025-01-01T00:00:00Z,2025,1,0,WHO
Bermuda,BMU,2025-02-01T00:00:00Z,2025,2,0,WHO
Bermuda,BMU,2025-03-01T00:00:00Z,2025,3,0,WHO
Bermuda,BMU,2025-04-01T00:00:00Z,2025,4,0,WHO
Bermuda,BMU,2025-05-01T00:00:00Z,2025,5,0,WHO
Bermuda,BMU,2025-06-01T00:00:00Z,2025,6,0,WHO
Bermuda,BMU,2025-07-01T00:00:00Z,2025,7,NA,WHO
Bhutan,BTN,2024-01-01T00:00:00Z,2024,1,0,SEARO
Bhutan,BTN,2024-02-01T00:00:00Z,2024,2,0,SEARO
Bhutan,BTN,2024-03-01T00:00:00Z,2024,3,0,SEARO
Bhutan,BTN,2024-04-01T00:00:00Z,2024,4,0,SEARO
Bhutan,BTN,2024-05-01T00:00:00Z,2024,5,0,SEARO
