"","country","d","mean_ratio","mean_RMSE","rf"
"439","Grenada",15,0.893578007132799,11801.080533156,1.1190964773279
"440","Grenada",16,0.905757887339123,11775.2837357405,1.10404779685412
"441","Grenada",17,0.921664360210679,11800.1331219494,1.08499367358787
"442","Grenada",18,0.939128991770211,11776.8493253099,1.06481645094893
"443","Grenada",19,0.956573538048494,11825.3210644546,1.0453979335871
"444","Grenada",20,0.976506786289395,11792.4232005494,1.02405842339291
"445","Grenada",21,0.97843397478434,11792.4232005494,1.02204136995592
"446","Grenada",22,1,11789.6381459055,1
"447","Grenada",23,1,11754.8167166077,1
"448","Grenada",24,1,11825.3210644546,1
"449","Grenada",25,1,11825.3210644546,1
"450","Grenada",26,1,11825.3210644546,1
"451","Grenada",27,1,11611.2235531601,1
"452","Grenada",28,NA,11049.7732381389,NA
"453","Guadeloupe",0,0.949893719253362,11776.8493253099,1.05274935472362
"454","Guadeloupe",1,0.921370067014147,11825.3210644546,1.0853402295135
"455","Guadeloupe",2,1,11825.3210644546,1
"456","Guadeloupe",3,1,11825.3210644546,1
"457","Guadeloupe",4,1,11825.3210644546,1
"458","Guadeloupe",5,1,11825.3210644546,1
"459","Guadeloupe",6,1,11805.8576543369,1
"460","Guadeloupe",7,1,11805.8576543369,1
"461","Guadeloupe",8,1,11788.3902155824,1
"462","Guadeloupe",9,1,11825.3210644546,1
"463","Guadeloupe",10,1,11825.3210644546,1
"464","Guadeloupe",11,1,11775.2837357405,1
"465","Guadeloupe",12,1,11800.1331219494,1
"466","Guadeloupe",13,1,11776.8493253099,1
"467","Guadeloupe",14,1,11776.8493253099,1
"468","Guadeloupe",15,1,11774.146609491,1
"469","Guadeloupe",16,1,11801.080533156,1
"470","Guadeloupe",17,1,11756.0386093119,1
"471","Guadeloupe",18,1,11754.8167166077,1
"472","Guadeloupe",19,1,11825.3210644546,1
"473","Guadeloupe",20,1,11754.8167166077,1
"474","Guadeloupe",21,1,11800.1331219494,1
"475","Guadeloupe",22,1,11710.1785407864,1
"476","Guadeloupe",23,1,11776.8493253099,1
"477","Guadeloupe",24,1,11611.2235531601,1
"478","Guadeloupe",25,NA,11049.7732381389,NA
"479","Guatemala",0,0.661002929487094,11795.492301904,1.51285259927055
"480","Guatemala",1,0.732160496805482,11800.303392638,1.36582075154715
"481","Guatemala",2,0.787646424700864,11825.3210644546,1.26960520436538
"482","Guatemala",3,0.849115113283619,11800.303392638,1.17769662128954
"483","Guatemala",4,0.890660024856199,11800.303392638,1.12276286359821
"484","Guatemala",5,0.927538075251887,11825.3210644546,1.07812285735918
"485","Guatemala",6,0.955492345789333,11809.4619895439,1.04658085897475
"486","Guatemala",7,0.96982284952097,11809.4619895439,1.0311161471334
"487","Guatemala",8,0.975161830807777,11795.492301904,1.025470817671
"488","Guatemala",9,0.979330518601659,11825.3210644546,1.02110572580527
"489","Guatemala",10,0.982721980314681,11806.1306438432,1.0175817983432
"490","Guatemala",11,0.985650555420739,11786.1614158957,1.01455834879851
"491","Guatemala",12,0.987756607243137,11805.8576543369,1.01239515146452
"492","Guatemala",13,0.989334446398033,11788.3902155824,1.01078053396483
"493","Guatemala",14,0.989731872048557,11825.3210644546,1.01037465624926
"494","Guatemala",15,0.99031221857857,11801.080533156,1.00978255265328
"495","Guatemala",16,0.990699989290927,11775.2837357405,1.00938731281882
"496","Guatemala",17,0.99104801380018,11800.1331219494,1.00903284813164
"497","Guatemala",18,0.991434663478378,11776.8493253099,1.0086393353361
"498","Guatemala",19,0.991675597912426,11825.3210644546,1.00839427944491
"499","Guatemala",20,0.992461368969607,11792.4232005494,1.00759589367012
"500","Guatemala",21,0.992334830405166,11792.4232005494,1.00772437826424
"501","Guatemala",22,0.993064876180078,11789.6381459055,1.00698355564301
"502","Guatemala",23,0.993324485929717,11754.8167166077,1.00672037603506
"503","Guatemala",24,0.994099226605388,11825.3210644546,1.00593579920061
"504","Guatemala",25,0.99476416989205,11825.3210644546,1.00526338831496
"505","Guatemala",26,0.995697524997387,11825.3210644546,1.00432106628228
"506","Guatemala",27,0.995760821062026,11611.2235531601,1.00425722608111
"507","Guatemala",28,NA,11049.7732381389,NA
"508","Guyana",0,0.519188790312172,11825.3210644546,1.92608164632894
"509","Guyana",1,0.553481157060088,11801.080533156,1.80674624103136
"510","Guyana",2,0.555884340571467,11775.2837357405,1.79893536661236
"511","Guyana",3,0.60452388605012,11801.080533156,1.65419435538581
"512","Guyana",4,0.621459223617536,11801.080533156,1.60911603206879
"513","Guyana",5,0.63908230680839,11801.080533156,1.56474367909519
"514","Guyana",6,0.654493442272812,11800.1331219494,1.52789918952797
"515","Guyana",7,0.665792877439394,11800.1331219494,1.50196860598141
"516","Guyana",8,0.675261571469127,11776.8493253099,1.48090761010486
"517","Guyana",9,0.711123830687474,11825.3210644546,1.40622484699079
"518","Guyana",10,0.740587182505248,11792.4232005494,1.35027991791218
"519","Guyana",11,0.753662022150768,11792.4232005494,1.32685470490638
"520","Guyana",12,0.887557881316156,11805.8576543369,1.12668708266902
"521","Guyana",13,0.906374125212786,11788.3902155824,1.10329716193656
"522","Guyana",14,0.92572347266881,11825.3210644546,1.08023619312261
"523","Guyana",15,0.92572347266881,11825.3210644546,1.08023619312261
"524","Guyana",16,0.947152178409582,11801.080533156,1.05579654758241
"525","Guyana",17,1,11800.1331219494,1
"526","Guyana",18,1,11800.1331219494,1
"527","Guyana",19,1,11825.3210644546,1
"528","Guyana",20,1,11825.3210644546,1
"529","Guyana",21,1,11825.3210644546,1
"530","Guyana",22,1,11825.3210644546,1
"531","Guyana",23,1,11792.4232005494,1
"532","Guyana",24,1,11792.4232005494,1
"533","Guyana",25,1,11789.6381459055,1
"534","Guyana",27,1,11825.3210644546,1
"535","Haiti",0,0.689199095034439,11792.4232005494,1.45095953724378
"536","Haiti",1,0.788946330442108,11775.2837357405,1.26751334205411
"537","Haiti",2,0.704588597549362,11806.1306438432,1.41926792950966
"538","Haiti",3,0.738431845597105,11825.3210644546,1.35422111866179
"539","Haiti",4,0.760229191797346,11825.3210644546,1.31539279310728
"540","Haiti",5,0.782026537997587,11825.3210644546,1.2787289834953
"541","Haiti",6,0.786972922814195,11786.1614158957,1.27069174937306
"542","Haiti",7,0.810111473636978,11786.1614158957,1.23439802118901
"543","Haiti",8,0.826288231782094,11805.8576543369,1.2102314441091
"544","Haiti",9,0.815684204924431,11788.3902155824,1.22596464901836
