"","country","iso3","Year","Month","date","cases","source"
"3851","Spain","ESP",2025,11,2025-11-01,0,"WHO"
"3852","Spain","ESP",2025,12,2025-12-01,0,"WHO"
"3853","Spain","ESP",2026,1,2026-01-01,0,"WHO"
"3854","Spain","ESP",2026,2,2026-02-01,0,"WHO"
"3855","Spain","ESP",2026,3,2026-03-01,0,"WHO"
"3856","Spain","ESP",2026,4,2026-04-01,0,"WHO"
"3857","Spain","ESP",2026,5,2026-05-01,0,"WHO"
"3858","Spain","ESP",2026,6,2026-06-01,NA,NA
"3859","Spain","ESP",2026,7,2026-07-01,NA,NA
"3860","Spain","ESP",2026,8,2026-08-01,NA,NA
"3861","Spain","ESP",2026,9,2026-09-01,NA,NA
"3862","Spain","ESP",2026,10,2026-10-01,NA,NA
"3863","Spain","ESP",2026,11,2026-11-01,NA,NA
"3864","Spain","ESP",2026,12,2026-12-01,NA,NA
"3865","Sri Lanka","LKA",2025,1,2025-01-01,4942,"SEARO"
"3866","Sri Lanka","LKA",2025,2,2025-02-01,3666,"SEARO"
"3867","Sri Lanka","LKA",2025,3,2025-03-01,3771,"SEARO"
"3868","Sri Lanka","LKA",2025,4,2025-04-01,5171,"SEARO"
"3869","Sri Lanka","LKA",2025,5,2025-05-01,6035,"SEARO"
"3870","Sri Lanka","LKA",2025,6,2025-06-01,5468,"SEARO"
"3871","Sri Lanka","LKA",2025,7,2025-07-01,4838,"SEARO"
"3872","Sri Lanka","LKA",2025,8,2025-08-01,2746,"SEARO"
"3873","Sri Lanka","LKA",2025,9,2025-09-01,2403,"SEARO"
"3874","Sri Lanka","LKA",2025,10,2025-10-01,2717,"SEARO"
"3875","Sri Lanka","LKA",2025,11,2025-11-01,3806,"SEARO"
"3876","Sri Lanka","LKA",2025,12,2025-12-01,5900,"SEARO"
"3877","Sri Lanka","LKA",2026,1,2026-01-01,7868,"SEARO"
"3878","Sri Lanka","LKA",2026,2,2026-02-01,5724,"SEARO"
"3879","Sri Lanka","LKA",2026,3,2026-03-01,6016,"SEARO"
"3880","Sri Lanka","LKA",2026,4,2026-04-01,5662,"SEARO"
"3881","Sri Lanka","LKA",2026,5,2026-05-01,8602,"SEARO"
"3882","Sri Lanka","LKA",2026,6,2026-06-01,NA,"SEARO"
"3883","Sri Lanka","LKA",2026,7,2026-07-01,NA,"SEARO"
"3884","Sri Lanka","LKA",2026,8,2026-08-01,NA,"SEARO"
"3885","Sri Lanka","LKA",2026,9,2026-09-01,NA,"SEARO"
"3886","Sri Lanka","LKA",2026,10,2026-10-01,NA,"SEARO"
"3887","Sri Lanka","LKA",2026,11,2026-11-01,NA,"SEARO"
"3888","Sri Lanka","LKA",2026,12,2026-12-01,NA,"SEARO"
"3889","St. Barthélemy","BLM",2025,1,2025-01-01,17,"PAHO"
"3890","St. Barthélemy","BLM",2025,2,2025-02-01,1,"PAHO"
"3891","St. Barthélemy","BLM",2025,3,2025-03-01,2,"PAHO"
"3892","St. Barthélemy","BLM",2025,4,2025-04-01,0,"WHO"
"3893","St. Barthélemy","BLM",2025,5,2025-05-01,0,"WHO"
"3894","St. Barthélemy","BLM",2025,6,2025-06-01,0,"WHO"
"3895","St. Barthélemy","BLM",2025,7,2025-07-01,NA,"PAHO"
"3896","St. Barthélemy","BLM",2025,8,2025-08-01,NA,"PAHO"
"3897","St. Barthélemy","BLM",2025,9,2025-09-01,0,"WHO"
"3898","St. Barthélemy","BLM",2025,10,2025-10-01,NA,"PAHO"
"3899","St. Barthélemy","BLM",2025,11,2025-11-01,NA,"PAHO"
"3900","St. Barthélemy","BLM",2025,12,2025-12-01,0,"WHO"
"3901","St. Barthélemy","BLM",2026,1,2026-01-01,0,"WHO"
"3902","St. Barthélemy","BLM",2026,2,2026-02-01,0,"WHO"
"3903","St. Barthélemy","BLM",2026,3,2026-03-01,0,"WHO"
"3904","St. Barthélemy","BLM",2026,4,2026-04-01,0,"WHO"
"3905","St. Barthélemy","BLM",2026,5,2026-05-01,0,"WHO"
"3906","St. Barthélemy","BLM",2026,6,2026-06-01,NA,NA
