iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
GUY,2016-01-01,1,2016-02-01,24,21,26,19,27,nowcast,expanding,73,0,22
GUY,2016-01-01,2,2016-03-01,24,21,26,19,27,nowcast,expanding,73,0,21
GUY,2016-01-01,3,2016-04-01,24,21,26,19,28,nowcast,expanding,73,0,21
GUY,2016-01-01,4,2016-05-01,26,24,29,22,31,nowcast,expanding,73,0,26
GUY,2016-01-01,5,2016-06-01,27,25,30,22,32,nowcast,expanding,73,0,27
GUY,2016-01-01,6,2016-07-01,35,32,38,29,41,nowcast,expanding,73,0,39
HND,2016-01-01,1,2016-02-01,2029,1695,3240,530,9877,nowcast,expanding,72,0,2039
HND,2016-01-01,2,2016-03-01,2042,1706,3261,533,9939,nowcast,expanding,72,0,1558
HND,2016-01-01,3,2016-04-01,2144,1792,3424,560,10438,nowcast,expanding,72,0,2363
HND,2016-01-01,4,2016-05-01,2954,2468,4717,771,14380,nowcast,expanding,72,0,3582
HND,2016-01-01,5,2016-06-01,4520,3776,7218,1180,22002,nowcast,expanding,72,0,2693
HND,2016-01-01,6,2016-07-01,4201,3510,6709,1097,20450,nowcast,expanding,72,0,2311
HTI,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
HTI,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
HTI,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
HTI,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
HTI,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
HTI,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
IDN,2016-01-01,1,2016-02-01,22252,19900,26197,11553,32860,nowcast,expanding,64,0,32117
