iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
GTM,2016-01-01,4,2016-05-01,1708,357,2357,40,5640,glm_ar1,expanding,72,0,633
GTM,2016-01-01,5,2016-06-01,1849,386,2551,43,6105,glm_ar1,expanding,72,0,1020
GTM,2016-01-01,6,2016-07-01,1957,409,2701,45,6462,glm_ar1,expanding,72,0,1086
GUF,2016-01-01,1,2016-02-01,211,44,292,5,698,glm_ar1,expanding,64,0,98
GUF,2016-01-01,2,2016-03-01,414,86,572,9,1368,glm_ar1,expanding,64,0,53
GUF,2016-01-01,3,2016-04-01,670,140,925,15,2214,glm_ar1,expanding,64,0,47
GUF,2016-01-01,4,2016-05-01,946,197,1305,22,3124,glm_ar1,expanding,64,0,34
GUF,2016-01-01,5,2016-06-01,1211,253,1671,28,3998,glm_ar1,expanding,64,0,42
GUF,2016-01-01,6,2016-07-01,1445,302,1994,33,4771,glm_ar1,expanding,64,0,39
GUY,2016-01-01,1,2016-02-01,97,20,134,2,321,glm_ar1,expanding,73,0,22
GUY,2016-01-01,2,2016-03-01,238,49,328,5,786,glm_ar1,expanding,73,0,21
GUY,2016-01-01,3,2016-04-01,451,94,622,10,1489,glm_ar1,expanding,73,0,21
GUY,2016-01-01,4,2016-05-01,712,149,983,16,2352,glm_ar1,expanding,73,0,26
GUY,2016-01-01,5,2016-06-01,988,206,1363,23,3262,glm_ar1,expanding,73,0,27
GUY,2016-01-01,6,2016-07-01,1249,261,1723,29,4124,glm_ar1,expanding,73,0,39
HND,2016-01-01,1,2016-02-01,3129,654,4317,73,10329,glm_ar1,expanding,72,0,2039
HND,2016-01-01,2,2016-03-01,2853,596,3937,66,9421,glm_ar1,expanding,72,0,1558
HND,2016-01-01,3,2016-04-01,2671,558,3686,62,8820,glm_ar1,expanding,72,0,2363
HND,2016-01-01,4,2016-05-01,2548,532,3516,59,8412,glm_ar1,expanding,72,0,3582
HND,2016-01-01,5,2016-06-01,2463,514,3398,57,8132,glm_ar1,expanding,72,0,2693
HND,2016-01-01,6,2016-07-01,2404,502,3317,56,7936,glm_ar1,expanding,72,0,2311
HTI,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
HTI,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
HTI,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
HTI,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
HTI,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
HTI,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
IDN,2016-01-01,1,2016-02-01,14322,2993,19761,334,47281,glm_ar1,expanding,64,0,32117
IDN,2016-01-01,2,2016-03-01,8494,1775,11720,198,28043,glm_ar1,expanding,64,0,27005
IDN,2016-01-01,3,2016-04-01,5840,1220,8058,136,19281,glm_ar1,expanding,64,0,24239
IDN,2016-01-01,4,2016-05-01,4464,933,6160,104,14739,glm_ar1,expanding,64,0,19075
IDN,2016-01-01,5,2016-06-01,3682,769,5080,86,12156,glm_ar1,expanding,64,0,15183
IDN,2016-01-01,6,2016-07-01,3207,670,4425,75,10588,glm_ar1,expanding,64,0,12005
IND,2016-01-01,1,2016-02-01,5583,1167,7704,130,18433,glm_ar1,expanding,70,0,4574
IND,2016-01-01,2,2016-03-01,4323,903,5964,101,14271,glm_ar1,expanding,70,0,3677
IND,2016-01-01,3,2016-04-01,3598,752,4964,84,11879,glm_ar1,expanding,70,0,2870
IND,2016-01-01,4,2016-05-01,3154,659,4352,73,10414,glm_ar1,expanding,70,0,3863
IND,2016-01-01,5,2016-06-01,2870,600,3961,67,9477,glm_ar1,expanding,70,0,5772
IND,2016-01-01,6,2016-07-01,2683,560,3701,62,8857,glm_ar1,expanding,70,0,11430
JAM,2016-01-01,1,2016-02-01,287,60,396,6,947,glm_ar1,expanding,69,0,207
JAM,2016-01-01,2,2016-03-01,515,107,711,12,1701,glm_ar1,expanding,69,0,136
JAM,2016-01-01,3,2016-04-01,783,163,1081,18,2587,glm_ar1,expanding,69,0,100
JAM,2016-01-01,4,2016-05-01,1058,221,1460,24,3493,glm_ar1,expanding,69,0,248
JAM,2016-01-01,5,2016-06-01,1312,274,1810,30,4331,glm_ar1,expanding,69,0,139
JAM,2016-01-01,6,2016-07-01,1530,319,2111,35,5052,glm_ar1,expanding,69,0,614
KEN,2016-01-01,1,2016-02-01,227,47,314,5,752,glm_ar1,expanding,35,0,77
KEN,2016-01-01,2,2016-03-01,437,91,603,10,1442,glm_ar1,expanding,35,0,42
KEN,2016-01-01,3,2016-04-01,696,145,960,16,2299,glm_ar1,expanding,35,0,28
KEN,2016-01-01,4,2016-05-01,972,203,1341,22,3209,glm_ar1,expanding,35,0,0
KEN,2016-01-01,5,2016-06-01,1234,258,1703,28,4076,glm_ar1,expanding,35,0,35
KEN,2016-01-01,6,2016-07-01,1465,306,2022,34,4837,glm_ar1,expanding,35,0,84
KHM,2016-01-01,1,2016-02-01,1008,210,1390,23,3327,glm_ar1,expanding,72,0,394
KHM,2016-01-01,2,2016-03-01,1267,264,1748,29,4183,glm_ar1,expanding,72,0,493
KHM,2016-01-01,3,2016-04-01,1492,312,2059,34,4928,glm_ar1,expanding,72,0,638
KHM,2016-01-01,4,2016-05-01,1679,351,2316,39,5542,glm_ar1,expanding,72,0,1163
KHM,2016-01-01,5,2016-06-01,1826,381,2520,42,6030,glm_ar1,expanding,72,0,1879
KHM,2016-01-01,6,2016-07-01,1940,405,2677,45,6405,glm_ar1,expanding,72,0,2236
KIR,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,48,10,NA
KIR,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,48,10,NA
KIR,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,48,10,NA
KIR,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,48,10,NA
