"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Guadeloupe","GLP",2026,"20260805",20,2026-05-11,383,383,383,12,1,TRUE,FALSE,"applied_mean"
"Guadeloupe","GLP",2024,"20260805",40,2024-09-30,5615,NA,5615,96,NA,FALSE,TRUE,"no_lookup_match"
"Guadeloupe","GLP",2025,"20260805",39,2025-09-22,4790,4790,4790,45,1,TRUE,FALSE,"applied_mean"
"Guyana","GUY",2025,"20260805",40,2025-09-29,54784,56217,56217,44,1.02614988087339,TRUE,FALSE,"applied_mean"
"Guyana","GUY",2026,"20260805",25,2026-06-15,35768,43205,43205,7,1.20793114320676,TRUE,FALSE,"applied_mean"
"Guyana","GUY",2024,"20260805",40,2024-09-30,38818,NA,38818,96,NA,FALSE,TRUE,"no_lookup_match"
"Jamaica","JAM",2025,"20260805",40,2025-09-29,379,379,379,44,1,TRUE,FALSE,"applied_mean"
"Jamaica","JAM",2026,"20260805",27,2026-06-29,134,134,134,5,1,TRUE,FALSE,"applied_mean"
"Jamaica","JAM",2024,"20260805",40,2024-09-30,1755,NA,1755,96,NA,FALSE,TRUE,"no_lookup_match"
"Martinique","MTQ",2025,"20260805",39,2025-09-22,1100,1100,1100,45,1,TRUE,FALSE,"applied_mean"
"Martinique","MTQ",2024,"20260805",40,2024-09-30,6664,NA,6664,96,NA,FALSE,TRUE,"no_lookup_match"
"Martinique","MTQ",2026,"20260805",20,2026-05-11,1354,1354,1354,12,1,TRUE,FALSE,"applied_mean"
"Montserrat","MSR",2024,"20260805",40,2024-09-30,3,NA,3,96,NA,FALSE,TRUE,"no_lookup_match"
"Montserrat","MSR",2025,"20260805",40,2025-09-29,3,3,3,44,1,TRUE,FALSE,"applied_mean"
"Montserrat","MSR",2026,"20260805",20,2026-05-11,0,0,0,12,1,TRUE,FALSE,"applied_mean"
"Saint Barthelemy","BLM",2025,"20260805",39,2025-09-22,20,20,20,45,1,TRUE,FALSE,"applied_mean"
"Saint Barthelemy","BLM",2026,"20260805",20,2026-05-11,0,0,0,12,1,TRUE,FALSE,"applied_mean"
"Saint Barthelemy","BLM",2024,"20260805",40,2024-09-30,151,NA,151,96,NA,FALSE,TRUE,"no_lookup_match"
"Saint Kitts and Nevis","KNA",2024,"20260805",40,2024-09-30,220,NA,220,96,NA,FALSE,TRUE,"no_lookup_match"
"Saint Kitts and Nevis","KNA",2025,"20260805",40,2025-09-29,7,7,7,44,1,TRUE,FALSE,"applied_mean"
"Saint Kitts and Nevis","KNA",2026,"20260805",13,2026-03-23,13,13,13,19,1.00317103078952,TRUE,FALSE,"applied_mean"
"Saint Lucia","LCA",2025,"20260805",40,2025-09-29,45,45,45,44,1,TRUE,FALSE,"applied_mean"
"Saint Lucia","LCA",2026,"20260805",29,2026-07-13,7,7,7,3,1,TRUE,FALSE,"applied_mean"
"Saint Lucia","LCA",2024,"20260805",40,2024-09-30,277,NA,277,96,NA,FALSE,TRUE,"no_lookup_match"
"Saint Martin",NA,2025,"20260805",39,2025-09-22,204,NA,204,45,NA,FALSE,TRUE,"no_lookup_match"
"Saint Martin",NA,2026,"20260805",20,2026-05-11,7,NA,7,12,NA,FALSE,TRUE,"no_lookup_match"
"Saint Martin",NA,2024,"20260805",40,2024-09-30,567,NA,567,96,NA,FALSE,TRUE,"no_lookup_match"
"Saint Vincent and the Grenadines","VCT",2025,"20260805",40,2025-09-29,5,5,5,44,1,TRUE,FALSE,"applied_mean"
"Saint Vincent and the Grenadines","VCT",2026,"20260805",31,2026-07-27,3,NA,3,1,NA,FALSE,TRUE,"no_lookup_match"
"Saint Vincent and the Grenadines","VCT",2024,"20260805",40,2024-09-30,921,NA,921,96,NA,FALSE,TRUE,"no_lookup_match"
"Sint Maarten","SXM",2024,"20260805",40,2024-09-30,144,NA,144,96,NA,FALSE,TRUE,"no_lookup_match"
"Sint Maarten","SXM",2025,"20260805",28,2025-07-07,8,NA,8,56,NA,FALSE,TRUE,"no_lookup_match"
"Suriname","SUR",2025,"20260805",40,2025-09-29,1262,1262,1262,44,1,TRUE,FALSE,"applied_mean"
"Suriname","SUR",2024,"20260805",20,2024-05-13,95,NA,95,116,NA,FALSE,TRUE,"no_lookup_match"
"Suriname","SUR",2026,"20260805",19,2026-05-04,418,418,418,13,1,TRUE,FALSE,"applied_mean"
"Trinidad and Tobago","TTO",2025,"20260805",40,2025-09-29,59,59,59,44,1,TRUE,FALSE,"applied_mean"
"Trinidad and Tobago","TTO",2026,"20260805",24,2026-06-08,54,54,54,8,1,TRUE,FALSE,"applied_mean"
