"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","Year","date","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","percentile_most_recent","Country","Region"
"105","Barbados","BRB",8,5,3.39723273079975,100,100,384,0.242254481457409,0.0639558011181885,2024,2024-08-01,19,"PAHO","Observed",78,1074,303,40.6753281846942,"Barbados","Caribbean"
"106","Barbados","BRB",3,12,2.65478349372427,103,103,1484.66666666667,1,0.0772936891524453,2024,2024-03-01,214,"PAHO","Observed",214,973,NA,93.8190114975721,"Barbados","Caribbean"
"107","Barbados","BRB",8,5,3.39723273079975,100,100,384,0.242254481457409,0.0639558011181885,2025,2025-08-01,11,"PAHO","Observed",45,269,314,14.3719300039489,"Barbados","Caribbean"
"108","Barbados","BRB",12,9,4.12986652428327,122.666666666667,122.666666666667,1013.66666666667,0.645091673068931,0.0810264791118472,2025,2025-12-01,NA,NA,"Unobserved",NA,NA,NA,7.21407692245548e-05,"Barbados","Caribbean"
"109","Barbados","BRB",5,2,2.57416021178826,69.3333333333333,69.3333333333333,127.666666666667,0.0804799634399276,0.0438439384922149,2024,2024-05-01,15,"PAHO","Observed",186,1039,169,98.0434003773573,"Barbados","Caribbean"
"110","Barbados","BRB",12,9,4.12986652428327,122.666666666667,122.666666666667,1013.66666666667,0.645091673068931,0.0810264791118472,2024,2024-12-01,16,"PAHO","Observed",25,1133,NA,1.1337606663958,"Barbados","Caribbean"
"111","Barbados","BRB",7,4,2.43504495734403,76.0000000000001,76,284,0.17829868033922,0.0480548406413678,2025,2025-07-01,12,"PAHO","Observed",67,258,284,51.5439933239456,"Barbados","Caribbean"
"112","Barbados","BRB",1,10,2.89996348835603,219.666666666667,219.666666666667,1233.33333333333,0.811717542694647,0.166625869625717,2024,2024-01-01,373,"PAHO","Observed",460,373,NA,94.6685488128661,"Barbados","Caribbean"
"113","Barbados","BRB",4,1,2.60575638673597,58.3333333333333,58.3333333333333,58.3333333333333,0.0366360249477126,0.0366360249477126,2025,2025-04-01,103,"PAHO","Observed",2811,159,154,100,"Barbados","Caribbean"
"114","Barbados","BRB",1,10,2.89996348835603,219.666666666667,219.666666666667,1233.33333333333,0.811717542694647,0.166625869625717,2025,2025-01-01,28,"PAHO","Observed",34,28,NA,1.50750246025625,"Barbados","Caribbean"
"115","Barbados","BRB",3,12,2.65478349372427,103,103,1484.66666666667,1,0.0772936891524453,2025,2025-03-01,12,"PAHO","Observed",12,56,NA,1.2218132634488,"Barbados","Caribbean"
"116","Barbados","BRB",9,6,2.8687099875087,174,174,558,0.352681130007065,0.110426648549657,2025,2025-09-01,1,"PAHO","Observed",3,270,330,0.0130236267763721,"Barbados","Caribbean"
"117","Barbados","BRB",10,7,2.73809395534967,191,191,749,0.473182313657192,0.120501183650126,2025,2025-10-01,NA,NA,"Unobserved",NA,NA,NA,0.000861321017996901,"Barbados","Caribbean"
"118","Barbados","BRB",4,1,2.60575638673597,58.3333333333333,58.3333333333333,58.3333333333333,0.0366360249477126,0.0366360249477126,2024,2024-04-01,51,"PAHO","Observed",1392,1024,51,100,"Barbados","Caribbean"
"119","Barbados","BRB",5,2,2.57416021178826,69.3333333333333,69.3333333333333,127.666666666667,0.0804799634399276,0.0438439384922149,2025,2025-05-01,76,"PAHO","Observed",944,235,245,99.9999999999791,"Barbados","Caribbean"
"120","Barbados","BRB",2,11,3.20144823173558,148.333333333333,148.333333333333,1381.66666666667,0.922706310847555,0.110988768152907,2025,2025-02-01,16,"PAHO","Observed",17,44,NA,0.533864217857355,"Barbados","Caribbean"
"121","Belize","BLZ",2,11,2.24461882722292,225.636363636364,225.636363636364,3729.45454545455,0.92001273306262,0.0704095967101693,2024,2024-02-01,72,"PAHO","Observed",78,145,NA,13.6178513047922,"Belize","Central America & Mexico"
"122","Belize","BLZ",12,9,1.51359602065476,255.727272727274,255.727272727273,3200.18181818182,0.759782075782041,0.0630264724048046,2025,2025-12-01,NA,NA,"Unobserved",NA,NA,NA,0.0420902399775617,"Belize","Central America & Mexico"
"123","Belize","BLZ",9,6,1.11178772508741,547.272727272727,547.272727272727,1990.54545454545,0.480215731335062,0.116115184850379,2024,2024-09-01,180,"PAHO","Observed",375,1016,1956,48.1869670060644,"Belize","Central America & Mexico"
